Probe,"[-25, -5)","[-5, 15)","[15, 35)","[35, 55)","[55, 75)","[75, 95)","[95, 115)","[115, 135)","[135, 155)","[155, 175)","[175, 195)","[195, 215)","[215, 235)","[235, 255)","[255, 275)",Overall_Cluster
L235_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L236_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L237_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L238_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L239_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L240_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L241_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L242_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L243_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L244_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L245_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L246_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L247_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L248_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L249_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L250_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L251_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L252_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L259_S5,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L260_S5,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L261_S5,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L262_S5,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L263_S5,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L264_S5,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
L265_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L266_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L267_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L268_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
